country,year,child_mortality,gdp_per_capita_usd,health_exp_pc_usd,life_expectancy_years,urban_population_pct
IND,2019.0,34.3,2041.42863698585,60.6913681,70.746,34.472
IND,2020.0,32.4,1907.04251637669,63.83099747,70.156,34.926
IND,2021.0,30.6,2239.61384367482,75.54971313,67.282,35.393
IND,2022.0,29.1,2347.44829434623,79.51509857,71.698,35.872
IND,2023.0,27.7,2530.12031278204,,72.003,36.364
ITA,2000.0,5.6,20190.0035636084,1524.23962402,79.7780487804878,67.222
ITA,2001.0,5.3,20570.4385917862,1586.67272949,80.1268292682927,67.282
ITA,2002.0,5.1,22451.3964379368,1762.53759766,80.2292682926829,67.382
ITA,2003.0,4.8,27577.5700319855,2163.02563477,79.9829268292683,67.501
ITA,2004.0,4.6,31348.1901841445,2565.62744141,80.7804878048781,67.62
ITA,2005.0,4.5,32062.723833669,2677.55224609,80.7829268292683,67.738
ITA,2006.0,4.3,33537.1286994269,2832.69775391,81.2829268292683,67.856
ITA,2007.0,4.2,37826.1754554823,3092.58227539,81.4341463414634,67.974
ITA,2008.0,4.1,40828.5795580937,3504.11157227,81.4853658536585,68.092
ITA,2009.0,4.1,37099.6133958219,3337.75073242,81.6365853658537,68.209
ITA,2010.0,4.0,35856.8625485539,3217.68286133,82.0365853658537,68.327
ITA,2011.0,3.9,38432.3742820019,3391.98925781,82.1878048780488,68.444
ITA,2012.0,3.8,34854.3949441965,3086.30322266,82.2390243902439,68.684
ITA,2013.0,3.7,35701.6746002376,3149.24267578,82.690243902439,68.979
ITA,2014.0,3.6,36028.3494022349,3154.27587891,83.090243902439,69.272
ITA,2015.0,3.5,30639.8829751432,2675.67163086,82.5439024390244,69.565
ITA,2016.0,3.4,31391.5692898108,2699.73291016,83.2439024390244,69.855
ITA,2017.0,3.3,32844.115660604,2809.72143555,82.9463414634147,70.144
ITA,2018.0,3.2,34904.1081923834,3002.76123047,83.3463414634146,70.438
ITA,2019.0,3.1,33812.788724868,2910.64672852,83.4975609756098,70.736
ITA,2020.0,3.0,32091.4866621366,3062.09838867,82.1951219512195,71.039
ITA,2021.0,2.9,36852.5425414951,3399.85766602,82.6463414634146,71.346
ITA,2022.0,2.8,35653.9042103495,3134.68066406,82.7,71.657
ITA,2023.0,2.8,39065.4244365633,3228.43505859,83.7,71.973
JPN,2000.0,4.5,39169.3595701504,2751.38452148,81.0760975609756,78.649
JPN,2001.0,4.3,34406.1824638092,2488.65185547,81.4163414634146,79.99
JPN,2002.0,4.1,32820.7936433254,2412.35131836,81.6907317073171,81.647
JPN,2003.0,4.0,35387.0374203599,2650.23852539,81.76,83.196
JPN,2004.0,3.9,38298.9801712303,2884.67358398,82.030243902439,84.64
JPN,2005.0,3.7,37812.8950199948,2892.60473633,81.9551219512195,85.978
JPN,2006.0,3.6,35991.546002862,2763.53344727,82.3219512195122,87.118
JPN,2007.0,3.5,35779.0245416427,2781.49365234,82.5070731707317,88.146
JPN,2008.0,3.4,39876.3039685725,3223.29101563,82.5875609756098,89.103
JPN,2009.0,3.4,41308.9968370512,3696.58422852,82.9314634146342,89.989
