year,indicator,BRA,CHN,DEU,FRA,GBR,IND,ITA,JPN,NGA,USA
2012.0,child_mortality,17.2,13.5,4.0,4.1,4.8,52.0,3.8,3.1,130.9,7.0
2012.0,gdp_per_capita_usd,12521.7213519966,6405.0574241349,44735.5882319701,40863.5814412333,42490.1465463521,1429.32199520032,34854.3949441965,49145.2804308193,2633.19734671361,51708.3940614082
2012.0,health_exp_pc_usd,968.7277832,284.69760132,4765.67871094,4644.59570313,4217.24755859,48.45263672,3086.30322266,5232.36279297,87.89523315,8262.29101563
2012.0,life_expectancy_years,74.335,76.2,80.5390243902439,81.9682926829268,80.9048780487805,68.076,82.2390243902439,83.0960975609756,51.688,78.7414634146342
2012.0,urban_population_pct,84.923,51.765,77.17,78.878,81.837,31.634,68.684,91.148,45.246,81.119
2013.0,child_mortality,16.7,12.5,4.0,4.1,4.6,49.1,3.7,3.0,129.3,6.9
2013.0,gdp_per_capita_usd,12458.8912138813,7147.03518622344,47220.0102098851,42669.1795111893,43419.0352598932,1432.84397512195,35701.6746002376,40898.6478964744,2872.79083379398,53297.3862901595
2013.0,health_exp_pc_usd,993.79608154,329.08572388,5100.15234375,4884.71582031,4348.28662109,55.46933746,3149.24267578,4356.15527344,97.29588318,8411.42871094
2013.0,life_expectancy_years,74.609,76.452,80.490243902439,82.219512195122,81.0048780487805,68.499,82.690243902439,83.3319512195122,51.827,78.7414634146342
2013.0,urban_population_pct,85.209,53.013,77.18,79.135,82.102,32.003,68.979,91.226,46.118,81.299
2014.0,child_mortality,16.3,11.5,4.0,4.1,4.5,46.3,3.6,2.9,127.9,6.8
2014.0,gdp_per_capita_usd,12274.9939689363,7781.06597484974,48971.0824722599,43148.0459288416,47426.6209829995,1553.88396075118,36028.3494022349,38475.3952461838,3088.72131316169,55153.3940182967
2014.0,health_exp_pc_usd,1030.66271973,362.28695679,5309.15478516,4974.74658203,4716.30224609,56.3490181,3154.27587891,4121.21142578,102.39888763,8796.18261719
